comando,descrição,ordem_importância,como_pode_ser_usado
git status,Mostra o estado atual do repositório,1,"git status, git status -s"
git add,Adiciona arquivos ao staging area,2,"git add ., git add arquivo.txt, git add -A"
git commit,Salva mudanças no repositório,3,"git commit -m 'mensagem', git commit -am 'msg'"
git push,Envia commits para repositório remoto,4,"git push, git push origin main, git push -u origin branch"
git pull,Baixa e integra mudanças do remoto,5,"git pull, git pull origin main, git pull --rebase"
git clone,Clona repositório remoto,6,"git clone url, git clone --depth 1 url"
git branch,Gerencia branches,7,"git branch, git branch -a, git branch nova-branch"
git checkout,Muda entre branches ou restaura arquivos,8,"git checkout main, git checkout -b nova-branch"
git merge,Integra mudanças de uma branch,9,"git merge feature, git merge --no-ff branch"
git log,Mostra histórico de commits,10,"git log, git log --oneline, git log --graph"
git diff,Mostra diferenças entre commits/branches,11,"git diff, git diff --staged, git diff branch1..branch2"
git stash,Salva mudanças temporariamente,12,"git stash, git stash pop, git stash list"
git remote,Gerencia repositórios remotos,13,"git remote -v, git remote add origin url"
git fetch,Baixa mudanças sem integrar,14,"git fetch, git fetch origin, git fetch --prune"
git reset,Desfaz commits ou mudanças,15,"git reset HEAD~1, git reset --hard HEAD~1"
git revert,Reverte commits de forma segura,16,"git revert HEAD, git revert commit-hash"
git tag,Gerencia tags/versões,17,"git tag, git tag v1.0, git tag -a v1.0 -m 'msg'"
git rebase,Reaproveita commits em nova base,18,"git rebase main, git rebase -i HEAD~3"
git cherry-pick,Aplica commits específicos,19,"git cherry-pick hash, git cherry-pick hash1..hash3"
git reflog,Histórico de mudanças nas referências,20,"git reflog, git reflog --oneline"
git bisect,Encontra commit que introduziu bug,21,"git bisect start, git bisect bad, git bisect good"
git clean,Remove arquivos não trackeados,22,"git clean -n, git clean -f, git clean -fd"
git blame,Mostra quem modificou cada linha,23,"git blame arquivo.txt, git blame -L 10,20 arquivo"
git show,Mostra informações de commits,24,"git show, git show hash, git show HEAD~2:arquivo"
git config,Configura Git,25,"git config --global user.name 'nome', git config --list"
git init,Inicializa repositório,26,"git init, git init --bare"
git fsck,Verifica integridade do repositório,27,"git fsck, git fsck --full"
git gc,Limpa e otimiza repositório,28,"git gc, git gc --aggressive"
git archive,Cria arquivo do repositório,29,"git archive --format=zip HEAD > file.zip"
git submodule,Gerencia submódulos,30,"git submodule add url, git submodule update"
git switch,Muda entre branches (novo),31,"git switch main, git switch -c nova-branch"
git restore,Restaura arquivos (novo),32,"git restore arquivo, git restore --staged arquivo"
git worktree,Gerencia múltiplas árvores de trabalho,33,"git worktree add ../hotfix, git worktree list"
git format-patch,Cria patches de commits,34,"git format-patch HEAD~3, git format-patch -1"
git apply,Aplica patches,35,"git apply patch.patch, git apply --check patch"
git am,Aplica patches de email,36,"git am patch.mbox, git am --3way patch"
git send-email,Envia patches por email,37,"git send-email *.patch"
git request-pull,Gera resumo de mudanças,38,"git request-pull v1.0 url HEAD"
git shortlog,Resumo de commits por autor,39,"git shortlog, git shortlog -sn"
git describe,Descreve commit mais próximo de tag,40,"git describe, git describe --tags"
git notes,Adiciona notas aos commits,41,"git notes add -m 'nota', git notes show"
git replace,Substitui objetos,42,"git replace hash novo-hash"
git filter-branch,Reescreve histórico (deprecated),43,"git filter-branch --tree-filter 'rm file'"
git subtree,Gerencia subprojetos,44,"git subtree add --prefix=lib url main"
git grep,Busca em arquivos,45,"git grep 'pattern', git grep -n 'text'"
git ls-files,Lista arquivos no índice,46,"git ls-files, git ls-files --others"
